"ImageId","Label"
1,"7"
2,"1"
3,"5"
4,"5"
5,"5"
6,"1"
7,"5"
8,"5"
9,"5"
10,"5"
11,"5"
12,"5"
13,"1"
14,"5"
15,"1"
16,"7"
17,"7"
18,"1"
19,"1"
20,"5"
21,"1"
22,"5"
23,"5"
24,"7"
25,"1"
26,"5"
27,"5"
28,"5"
29,"5"
30,"1"
31,"1"
32,"1"
33,"5"
34,"5"
35,"5"
36,"5"
37,"1"
38,"1"
39,"5"
40,"5"
41,"5"
42,"1"
43,"7"
44,"1"
45,"5"
46,"5"
47,"1"
48,"5"
49,"1"
50,"5"
51,"5"
52,"5"
53,"5"
54,"5"
55,"5"
56,"7"
57,"5"
58,"5"
59,"1"
60,"1"
61,"1"
62,"5"
63,"1"
64,"1"
65,"5"
66,"5"
67,"1"
68,"5"
69,"5"
70,"5"
71,"5"
72,"5"
73,"5"
74,"5"
75,"5"
76,"5"
77,"1"
78,"1"
79,"7"
80,"5"
81,"5"
82,"1"
83,"1"
84,"5"
85,"1"
86,"7"
87,"5"
88,"5"
89,"5"
90,"5"
91,"7"
92,"5"
93,"5"
94,"5"
95,"5"
96,"5"
97,"5"
98,"1"
99,"5"
100,"5"
101,"5"
102,"5"
103,"5"
104,"5"
105,"1"
106,"5"
107,"1"
108,"5"
109,"5"
110,"5"
111,"5"
112,"5"
113,"1"
114,"5"
115,"1"
116,"5"
117,"5"
118,"5"
119,"5"
120,"5"
121,"5"
122,"1"
123,"7"
124,"5"
125,"5"
126,"7"
127,"5"
128,"1"
129,"1"
130,"5"
131,"5"
132,"5"
133,"5"
134,"5"
135,"5"
136,"5"
137,"7"
138,"5"
139,"5"
140,"7"
141,"5"
142,"7"
143,"5"
144,"5"
145,"1"
146,"5"
147,"5"
148,"5"
149,"2"
150,"5"
151,"5"
152,"5"
153,"1"
154,"5"
155,"5"
156,"5"
157,"1"
158,"5"
159,"5"
160,"5"
161,"5"
162,"5"
163,"1"
164,"5"
165,"1"
166,"5"
167,"5"
168,"5"
169,"1"
170,"5"
171,"5"
172,"1"
173,"7"
174,"5"
175,"1"
176,"7"
177,"1"
178,"1"
179,"1"
180,"5"
181,"5"
182,"5"
183,"5"
184,"5"
185,"1"
186,"1"
187,"7"
188,"5"
189,"5"
190,"5"
191,"5"
192,"5"
193,"5"
194,"5"
195,"1"
196,"5"
197,"5"
198,"1"
199,"5"
200,"5"
201,"1"
202,"1"
203,"5"
204,"1"
205,"5"
206,"5"
207,"5"
208,"5"
209,"5"
210,"5"
211,"5"
212,"5"
213,"5"
214,"5"
215,"5"
216,"5"
217,"1"
218,"5"
219,"7"
220,"5"
221,"5"
222,"5"
223,"5"
224,"5"
225,"5"
226,"5"
227,"1"
228,"7"
229,"1"
230,"5"
231,"5"
232,"5"
233,"5"
234,"5"
235,"5"
236,"5"
237,"5"
238,"5"
239,"1"
240,"5"
241,"5"
242,"5"
243,"7"
244,"5"
245,"1"
246,"5"
247,"1"
248,"1"
249,"5"
250,"1"
251,"5"
252,"1"
253,"1"
254,"1"
255,"5"
256,"7"
257,"5"
258,"5"
259,"5"
260,"5"
261,"5"
262,"7"
263,"5"
264,"5"
265,"1"
266,"5"
267,"5"
268,"5"
269,"1"
270,"5"
271,"5"
272,"5"
273,"5"
274,"1"
275,"5"
276,"5"
277,"5"
278,"5"
279,"5"
280,"5"
281,"5"
282,"7"
283,"5"
284,"7"
285,"5"
286,"1"
287,"1"
288,"1"
289,"5"
290,"1"
291,"5"
292,"1"
293,"1"
294,"7"
295,"5"
296,"5"
297,"5"
298,"5"
299,"5"
300,"5"
301,"7"
302,"5"
303,"5"
304,"5"
305,"5"
306,"5"
307,"7"
308,"5"
309,"5"
310,"5"
311,"5"
312,"5"
313,"1"
314,"5"
315,"5"
316,"5"
317,"7"
318,"5"
319,"1"
320,"5"
321,"5"
322,"5"
323,"5"
324,"5"
325,"5"
326,"5"
327,"1"
328,"1"
329,"5"
330,"5"
331,"5"
332,"5"
333,"5"
334,"7"
335,"5"
336,"1"
337,"5"
338,"5"
339,"5"
340,"5"
341,"5"
342,"5"
343,"1"
344,"5"
345,"5"
346,"5"
347,"1"
348,"7"
349,"7"
350,"5"
351,"7"
352,"5"
353,"1"
354,"5"
355,"5"
356,"1"
357,"1"
358,"5"
359,"5"
360,"1"
361,"5"
362,"7"
363,"7"
364,"5"
365,"5"
366,"5"
367,"5"
368,"5"
369,"1"
370,"5"
371,"5"
372,"5"
373,"1"
374,"1"
375,"5"
376,"1"
377,"1"
378,"1"
379,"1"
380,"5"
381,"7"
382,"1"
383,"5"
384,"5"
385,"9"
386,"5"
387,"5"
388,"5"
389,"7"
390,"7"
391,"1"
392,"5"
393,"5"
394,"1"
395,"1"
396,"5"
397,"5"
398,"5"
399,"1"
400,"1"
401,"5"
402,"1"
403,"5"
404,"5"
405,"1"
406,"5"
407,"5"
408,"5"
409,"5"
410,"5"
411,"5"
412,"5"
413,"5"
414,"5"
415,"5"
416,"1"
417,"1"
418,"5"
419,"5"
420,"5"
421,"5"
422,"5"
423,"5"
424,"5"
425,"5"
426,"5"
427,"5"
428,"1"
429,"7"
430,"1"
431,"5"
432,"5"
433,"5"
434,"5"
435,"5"
436,"5"
437,"1"
438,"1"
439,"5"
440,"5"
441,"5"
442,"5"
443,"5"
444,"5"
445,"5"
446,"5"
447,"1"
448,"1"
449,"5"
450,"5"
451,"1"
452,"5"
453,"5"
454,"1"
455,"5"
456,"1"
457,"1"
458,"5"
459,"5"
460,"5"
461,"5"
462,"5"
463,"5"
464,"5"
465,"5"
466,"1"
467,"1"
468,"5"
469,"5"
470,"1"
471,"5"
472,"5"
473,"1"
474,"5"
475,"5"
476,"5"
477,"5"
478,"5"
479,"5"
480,"7"
481,"7"
482,"5"
483,"5"
484,"5"
485,"5"
486,"1"
487,"5"
488,"5"
489,"5"
490,"1"
491,"5"
492,"5"
493,"7"
494,"1"
495,"7"
496,"1"
497,"5"
498,"5"
499,"7"
500,"5"
501,"5"
502,"5"
503,"5"
504,"5"
505,"5"
506,"5"
507,"5"
508,"7"
509,"1"
510,"7"
511,"1"
512,"5"
513,"5"
514,"5"
515,"5"
516,"5"
517,"7"
518,"1"
519,"1"
520,"1"
521,"5"
522,"1"
523,"5"
524,"5"
525,"1"
526,"5"
527,"5"
528,"5"
529,"1"
530,"1"
531,"5"
532,"1"
533,"5"
534,"5"
535,"1"
536,"7"
537,"5"
538,"5"
539,"5"
540,"5"
541,"5"
542,"7"
543,"5"
544,"7"
545,"5"
546,"5"
547,"5"
548,"5"
549,"5"
550,"1"
551,"5"
552,"5"
553,"1"
554,"1"
555,"7"
556,"5"
557,"1"
558,"5"
559,"5"
560,"5"
561,"5"
562,"5"
563,"5"
564,"5"
565,"5"
566,"5"
567,"7"
568,"1"
569,"5"
570,"1"
571,"5"
572,"5"
573,"5"
574,"1"
575,"7"
576,"5"
577,"5"
578,"5"
579,"5"
580,"5"
581,"5"
582,"5"
583,"1"
584,"5"
585,"5"
586,"5"
587,"1"
588,"5"
589,"5"
590,"5"
591,"5"
592,"5"
593,"5"
594,"5"
595,"5"
596,"1"
597,"7"
598,"5"
599,"5"
600,"5"
601,"5"
602,"5"
603,"5"
604,"5"
605,"5"
606,"1"
607,"5"
608,"1"
609,"5"
610,"5"
611,"5"
612,"5"
613,"5"
614,"7"
615,"5"
616,"5"
617,"5"
618,"5"
619,"5"
620,"1"
621,"5"
622,"5"
623,"1"
624,"5"
625,"1"
626,"5"
627,"5"
628,"5"
629,"1"
630,"1"
631,"5"
632,"1"
633,"5"
634,"7"
635,"5"
636,"1"
637,"5"
638,"1"
639,"5"
640,"1"
641,"5"
642,"1"
643,"5"
644,"5"
645,"1"
646,"5"
647,"5"
648,"1"
649,"5"
650,"5"
651,"7"
652,"1"
653,"5"
654,"5"
655,"1"
656,"7"
657,"7"
658,"5"
659,"5"
660,"5"
661,"5"
662,"5"
663,"5"
664,"5"
665,"5"
666,"7"
667,"5"
668,"5"
669,"5"
670,"5"
671,"5"
672,"1"
673,"7"
674,"5"
675,"5"
