ImageId,Label
1,1
2,0
3,0
4,7
5,8
6,5
7,0
8,7
9,8
10,8
11,2
12,9
13,6
14,9
15,9
16,8
17,9
18,2
19,3
20,9
21,2
22,5
23,7
24,4
25,5
26,0
27,9
28,1
29,6
30,1
31,0
32,9
33,2
34,6
35,4
36,7
37,1
38,4
39,1
40,8
41,8
42,4
43,3
44,6
45,5
46,9
47,5
48,9
49,7
50,2
51,8
52,8
53,5
54,3
55,3
56,1
57,6
58,6
59,7
60,2
61,3
62,0
63,4
64,8
65,2
66,3
67,0
68,4
69,5
70,0
71,5
72,4
73,4
74,3
75,0
76,0
77,6
78,9
79,9
80,7
81,4
82,8
83,8
84,9
85,3
86,1
87,0
88,4
89,9
90,0
91,6
92,0
93,2
94,0
95,2
96,2
97,0
98,7
99,7
100,1
101,9
102,9
103,6
104,5
105,3
106,8
107,8
108,3
109,7
110,3
111,6
112,3
113,3
114,3
115,5
116,2
117,6
118,2
119,1
120,6
121,3
122,5
123,1
124,0
125,2
126,2
127,6
128,0
129,2
130,0
131,7
132,0
133,9
134,1
135,6
136,9
137,0
138,2
139,0
140,7
141,1
142,9
143,5
144,8
145,5
146,2
147,9
148,2
149,4
150,3
151,4
152,3
153,8
154,3
155,7
156,9
157,2
158,4
159,0
160,5
161,3
162,1
163,7
164,5
165,5
166,5
167,9
168,2
169,2
170,9
171,2
172,6
173,3
174,4
175,0
176,2
177,9
178,0
179,4
180,3
181,4
182,9
183,1
184,3
185,4
186,5
187,3
188,7
189,3
190,6
191,7
192,1
193,4
194,0
195,0
196,5
197,6
198,7
199,0
200,7
201,3
202,4
203,6
204,8
205,1
206,5
207,4
208,4
209,2
210,6
211,5
212,2
213,9
214,6
215,3
216,2
217,4
218,6
219,4
220,7
221,4
222,2
223,7
224,3
225,2
226,7
227,2
228,2
229,8
230,4
231,9
232,2
233,9
234,1
235,2
236,7
237,2
238,4
239,1
240,7
241,1
242,4
243,1
244,5
245,6
246,4
247,0
248,7
249,6
250,2
251,7
252,5
253,8
254,2
255,8
256,0
257,5
258,8
259,7
260,2
261,4
262,5
263,9
264,1
265,8
266,1
267,4
268,4
269,8
270,9
271,0
272,7
273,1
274,4
275,0
276,5
277,2
278,2
279,0
280,8
281,0
282,4
283,9
284,0
285,3
286,9
287,5
288,9
289,2
290,3
291,7
292,2
293,3
294,9
295,3
296,2
297,3
298,6
299,1
300,6
301,9
302,6
303,3
304,3
305,6
306,3
307,4
308,7
309,3
310,8
311,1
312,3
313,2
314,8
315,2
316,2
317,3
318,4
319,0
320,8
321,8
322,7
323,1
324,8
325,1
326,1
327,8
328,0
329,6
330,9
331,4
332,2
333,5
334,7
335,3
336,4
337,8
338,0
339,9
340,7
341,2
342,1
343,6
344,5
345,3
346,4
347,4
348,7
349,1
350,8
351,5
352,1
353,1
354,1
355,6
356,3
357,9
358,8
359,1
360,2
361,8
362,9
363,3
364,0
365,0
366,9
367,3
368,3
369,5
370,0
371,5
372,0
373,5
374,5
375,1
376,1
377,6
378,5
379,6
380,0
381,2
382,1
383,0
384,5
385,8
386,6
387,0
388,2
389,4
390,9
391,0
392,6
393,6
394,6
395,4
396,6
397,0
398,8
399,5
400,7
401,4
402,3
403,2
404,2
405,0
406,7
407,1
408,0
409,1
410,1
411,2
412,6
413,6
414,6
415,1
416,9
417,4
418,9
419,3
420,5
421,0
422,7
423,3
424,6
425,0
426,4
427,0
428,4
429,4
430,4
431,7
432,7
433,8
434,7
435,4
436,3
437,2
438,8
439,0
440,8
441,2
442,7
443,2
444,4
445,8
446,7
447,8
448,8
449,4
450,5
451,1
452,2
453,8
454,4
455,7
456,6
457,8
458,9
459,9
460,1
461,0
462,5
463,4
464,4
465,9
466,2
467,5
468,4
469,3
470,0
471,7
472,8
473,7
474,3
475,4
476,2
477,6
478,9
479,0
480,6
481,8
482,9
483,6
484,3
485,2
486,9
487,1
488,4
489,8
490,9
491,8
492,1
493,2
494,6
495,1
496,0
497,9
498,6
499,2
500,4
501,1
502,3
503,7
504,1
505,5
506,5
507,5
508,7
509,8
510,2
511,5
512,5
513,8
514,6
515,1
516,4
517,7
518,3
519,8
520,3
521,2
522,1
523,0
524,8
525,5
526,5
527,2
528,2
529,6
530,8
531,4
532,9
533,3
534,9
535,9
536,9
537,9
538,5
539,7
540,6
541,2
542,6
543,5
544,1
545,5
546,3
547,4
548,7
549,3
550,2
551,6
552,9
553,3
554,8
555,8
556,4
557,9
558,3
559,9
560,1
561,2
562,7
563,8
564,2
565,5
566,2
567,8
568,4
569,8
570,5
571,7
572,0
573,0
574,1
575,3
576,8
577,9
578,3
579,1
580,3
581,9
582,8
583,8
584,6
585,9
586,5
587,6
588,6
589,8
590,7
591,2
592,8
593,1
594,2
595,9
596,0
597,5
598,1
599,3
600,1
601,4
602,0
603,9
604,2
605,6
606,4
607,8
608,7
609,9
610,4
611,1
612,5
613,4
614,2
615,3
616,0
617,2
618,9
619,3
620,5
621,6
622,1
623,1
624,5
625,3
626,8
627,3
628,6
629,9
630,1
631,6
632,2
633,1
634,5
635,9
636,3
637,0
638,9
639,0
640,4
641,9
642,9
643,4
644,3
645,2
646,2
647,6
648,6
649,8
650,6
651,7
652,5
653,5
654,3
655,9
656,2
657,8
658,7
659,3
660,4
661,8
662,9
663,1
664,8
665,5
666,0
667,7
668,6
669,1
670,1
671,9
672,7
673,2
674,1
675,6
676,6
677,5
678,1
679,9
680,4
681,8
682,1
683,6
684,5
685,0
686,8
687,2
688,0
689,8
690,1
691,0
692,1
693,4
694,1
695,3
696,7
697,5
698,2
699,1
700,4
701,4
702,4
703,6
704,0
705,6
706,7
707,6
708,1
709,0
710,4
711,4
712,4
713,7
714,1
715,4
716,2
717,0
718,1
719,7
720,0
721,0
722,1
723,1
724,9
725,8
726,2
727,8
728,1
729,5
730,0
731,8
732,6
733,9
734,1
735,6
736,5
737,0
738,0
739,6
740,5
741,4
742,7
743,0
744,1
745,8
746,8
747,5
748,0
749,9
750,7
751,9
752,0
753,5
754,1
755,1
756,6
757,4
758,4
759,5
760,9
761,1
762,9
763,8
764,5
765,6
766,9
767,9
768,7
769,2
770,8
771,1
772,6
773,8
774,5
775,2
776,2
777,3
778,6
779,7
780,8
781,0
782,1
783,2
784,1
785,6
786,7
787,6
788,6
789,0
790,5
791,2
792,4
793,7
794,3
795,8
796,4
797,7
798,2
799,2
800,4
801,4
802,5
803,9
804,1
805,9
806,9
807,0
808,3
809,5
810,4
811,9
812,4
813,5
814,4
815,8
816,2
817,4
818,7
819,2
820,5
821,1
822,5
823,3
824,9
825,0
826,2
827,3
828,3
829,6
830,9
831,0
832,1
833,3
834,1
835,0
836,1
837,3
838,0
839,5
840,0
841,2
842,4
843,2
